ID;Gemeente_Code;Gemeente_Naam;Provincie_Code;Provincie_Naam;Bevolking_Aantallen;zwaartepunt_x;zwaartepunt_y;oppervlakte_m2
195;GM1621;Lansingerland;PV28;Zuid-Holland;66064;94499.83092508369;446548.48706625745;56392413.65617047
198;GM0855;Tilburg;PV30;Noord-Brabant;230357;133525.86683620705;399435.2288773659;128459576.86955272
201;GM0845;Sint-Michielsgestel;PV30;Noord-Brabant;30176;154371.68403066634;407582.83472631546;59341507.317360006
204;GM0753;Best;PV30;Noord-Brabant;31652;155647.38222633023;391678.92578018754;34653442.16653045
206;GM0168;Losser;PV23;Overijssel;23469;265186.1020699367;480654.67758386035;99621433.48118617
207;GM0209;Beuningen;PV25;Gelderland;26749;179320.332696188;430532.1178799371;47089889.80686195
209;GM1729;Gulpen-Wittem;PV31;Limburg;14017;191161.92260868117;312620.94769508747;73360503.2608336
210;GM0375;Beverwijk;PV27;Noord-Holland;43040;104862.95748303314;499932.01726155885;20086770.5724255
211;GM0303;Dronten;PV24;Flevoland;44856;175919.96794838054;502525.2570469095;423894807.0265033
215;GM0798;Hilvarenbeek;PV30;Noord-Brabant;16149;138206.5182631005;387858.47555006103;96507470.35469355
218;GM0310;De Bilt;PV26;Utrecht;43792;140426.60372896038;461526.04111939593;67130787.09830731
223;GM1728;Bladel;PV30;Noord-Brabant;21006;144662.1257333468;375911.0121634705;75623311.59095554
225;GM0376;Blaricum;PV27;Noord-Holland;12947;147290.960625198;477223.7359879634;15562768.946834503
229;GM0098;Weststellingwerf;PV21;Fryslân;26596;197447.73952307462;543364.5252547264;228446186.87038258
235;GM0984;Venray;PV31;Limburg;44807;194959.67961996433;391976.18599224126;165001831.85453457
237;GM0405;Hoorn;PV27;Noord-Holland;76036;133654.7816079743;515870.211744319;53455162.8641169
242;GM1901;Bodegraven-Reeuwijk;PV28;Zuid-Holland;37209;112409.59241410383;453195.493918598;88639500.12681654
243;GM0755;Boekel;PV30;Noord-Brabant;11465;176234.09946246588;402021.06003436766;34515421.43911095
246;GM0014;Groningen;PV20;Groningen;244441;237386.87664849721;582036.0956167983;197960468.94556165
254;GM0090;Smallingerland;PV21;Fryslân;57084;198638.80768158488;569823.7990629822;126174966.05833477
257;GM1681;Borger-Odoorn;PV22;Drenthe;26049;254890.7336782928;547558.3031062759;277891503.6376876
258;GM0047;Veendam;PV20;Groningen;27687;255014.58240432086;567942.6081179762;78678839.28915802
259;GM1952;Midden-Groningen;PV20;Groningen;61387;249914.8270060686;579677.8538670806;295765120.29417574
261;GM1883;Sittard-Geleen;PV31;Limburg;92491;185954.52208197472;335117.4036809244;80584402.06526096
262;GM0147;Borne;PV23;Overijssel;24741;247490.5711447981;481351.4296796939;26164536.57522749
268;GM1655;Halderberge;PV30;Noord-Brabant;31347;95121.17331266028;400536.41914859414;75214852.31329441
269;GM0599;Rotterdam;PV28;Zuid-Holland;672960;78636.64828252439;438644.18600587297;324144102.27684957
271;GM0532;Stede Broec;PV27;Noord-Holland;22253;144160.5162427722;523640.59971585544;16370718.734729486
275;GM0757;Boxtel;PV30;Noord-Brabant;34241;150622.2009353808;399138.9705500961;70318141.79401189
282;GM1509;Oude IJsselstreek;PV25;Gelderland;39499;225345.61810840212;435975.49202005536;137952278.13764712
286;GM1904;Stichtse Vecht;PV26;Utrecht;66130;129376.01887409278;465488.9072705947;106819273.0986214
288;GM1992;Voorne aan Zee;PV28;Zuid-Holland;74527;66733.57175286532;432274.3030406872;189829763.35123572
293;GM0852;Waterland;PV27;Noord-Holland;17556;132976.36367313893;495737.47122088127;115661251.53879723
294;GM1980;Dijk en Waard;PV27;Noord-Holland;90747;116801.89484380635;521784.0168240723;67020934.42526262
296;GM0119;Meppel;PV22;Drenthe;36271;209505.60593139753;525697.9342254549;57027703.89479488
298;GM0177;Raalte;PV23;Overijssel;38623;215713.18442907208;489259.62878544815;172290458.3569768
299;GM1891;Dantumadiel;PV21;Fryslân;19137;194841.93702185978;588335.1050749996;87527004.06223696
303;GM1676;Schouwen-Duiveland;PV29;Zeeland;34412;50965.84621294158;411450.83714194334;488207499.71646005
307;GM1700;Twenterand;PV23;Overijssel;34113;237318.5747597379;496257.1563956269;108135019.43176956
309;GM0213;Brummen;PV25;Gelderland;21394;205097.19147902343;458112.3930851474;85012047.72001432
310;GM0899;Brunssum;PV31;Limburg;27534;196524.38175167557;328303.55697149475;17338107.73549898
313;GM1706;Cranendonck;PV30;Noord-Brabant;21665;169578.86681547776;366352.84542831994;78050093.70992006
322;GM0938;Meerssen;PV31;Limburg;18460;180967.23781890582;323570.25471701776;27657077.47279848
323;GM1730;Tynaarlo;PV22;Drenthe;35011;236529.0186196758;568499.289154175;147698650.4454515
324;GM0312;Bunnik;PV26;Utrecht;16279;143318.64178056072;450301.55535952025;37569138.67618155
325;GM0313;Bunschoten;PV26;Utrecht;22684;153013.60517541674;472695.02359303436;34813415.64841363
329;GM0448;Texel;PV27;Noord-Holland;13846;120594.63435094187;565931.2013018596;463156581.58136016
330;GM0441;Schagen;PV27;Noord-Holland;48378;111487.76618356457;533532.2193733223;187280777.98367888
336;GM1942;Gooise Meren;PV27;Noord-Holland;61003;137003.48297744695;481155.0716271611;75207519.29036897
342;GM0502;Capelle aan den IJssel;PV28;Zuid-Holland;68624;99497.59313746767;438804.18973728275;15399973.469921026
348;GM0677;Hulst;PV29;Zeeland;27378;62856.12892969119;372392.15375577315;251820451.5976029
351;GM1695;Noord-Beveland;PV29;Zeeland;8046;44726.9846161939;399461.07518376905;121583553.25008103
355;GM0352;Wijk bij Duurstede;PV26;Utrecht;23831;150744.81927087042;444536.05356391094;50403976.255243525
357;GM0865;Vught;PV30;Noord-Brabant;33010;144993.14270928677;406846.3710463468;61115611.05894993
360;GM0216;Culemborg;PV25;Gelderland;30281;142842.57571413476;439717.85607773974;31143693.71344495
361;GM0163;Hellendoorn;PV23;Overijssel;36213;227411.1887117506;489255.1873306917;138993335.14388606
