ID;Gemeente_Code;Gemeente_Naam;Provincie_Code;Provincie_Naam;Bevolking_Aantallen;zwaartepunt_x;zwaartepunt_y;oppervlakte_m2
1843;GM0606;Schiedam;PV28;Zuid-Holland;82232;86083.87083017098;438061.7428232372;19857484.746634535
1844;GM0088;Schiermonnikoog;PV21;Fryslân;971;210451.78070853127;610127.0074112918;203560324.0402479
1919;GM0610;Sliedrecht;PV28;Zuid-Holland;26601;112659.02947717528;427077.2931761928;14014161.824039005
1936;GM0342;Soest;PV26;Utrecht;47999;148778.4645184944;463117.2034306661;46432000.67832145
1940;GM0848;Son en Breugel;PV30;Noord-Brabant;18131;161612.42452045612;391934.744725017;26506821.641719487
1959;GM0867;Waalwijk;PV30;Noord-Brabant;51241;129045.23257606954;411571.52335454075;67646236.51426607
1998;GM0988;Weert;PV31;Limburg;51355;176266.82645661224;360516.3559879827;105535697.46377456
2091;GM0450;Uitgeest;PV27;Noord-Holland;13427;110302.27561538633;504176.96376002836;22290553.89789898
2104;GM0184;Urk;PV24;Flevoland;22173;161381.64156382787;522862.5858072138;111864151.34691906
2115;GM0858;Valkenswaard;PV30;Noord-Brabant;31955;159323.59011902992;370502.64398836624;56501690.54487143
2126;GM0345;Veenendaal;PV26;Utrecht;70352;166561.95966664932;448383.4870706877;19724167.34594201
2139;GM0861;Veldhoven;PV30;Noord-Brabant;47601;154722.65536122696;380302.51869144617;31885448.01254298
2170;GM0622;Vlaardingen;PV28;Zuid-Holland;77260;82120.51416540807;437075.5061666656;26691378.026736923
2176;GM0096;Vlieland;PV21;Fryslân;1217;131450.7355091681;581510.7652065175;315801167.184854
2191;GM0626;Voorschoten;PV28;Zuid-Holland;25900;90042.16189382563;460047.6420819418;11559446.202940006
2215;GM0866;Waalre;PV30;Noord-Brabant;17898;160406.45506474996;377572.5566174882;22663852.608179078
2225;GM0627;Waddinxveen;PV28;Zuid-Holland;35031;103785.74491229242;450715.5227109933;29396575.978505023
2229;GM0289;Wageningen;PV25;Gelderland;42790;173985.76799665592;442820.8434884915;32359864.993858475
2248;GM0301;Zutphen;PV25;Gelderland;49028;212969.94274466162;461243.8148923453;42934420.84382492
2253;GM0629;Wassenaar;PV28;Zuid-Holland;27525;85166.29245820634;461920.73911847133;62404982.08595239
2300;GM0293;Westervoort;PV25;Gelderland;15205;195108.84386593994;441170.4468421485;7838999.4534
2361;GM0294;Winterswijk;PV25;Gelderland;29232;246986.57482024585;443229.484418573;138816639.80614224
2400;GM0351;Woudenberg;PV26;Utrecht;14760;157703.239825086;454765.7728349492;36822053.20896599
2428;GM0050;Zeewolde;PV24;Flevoland;24291;159636.3544238159;484051.79048015596;268858791.59706426
2455;GM0637;Zoetermeer;PV28;Zuid-Holland;129862;93456.56810758142;452892.7022554599;37051002.74752598
2500;GM0193;Zwolle;PV23;Overijssel;133810;204627.57161874458;503696.79828624777;119364079.289686
