ID;Gemeente_Code;Gemeente_Naam;Provincie_Code;Provincie_Naam;Bevolking_Aantallen
1580;GM0718;Vlissingen;PV29;Zeeland;45755
1585;GM0431;Oostzaan;PV27;Noord-Holland;9733
1649;GM0716;Tholen;PV29;Zeeland;26942
1666;GM0590;Papendrecht;PV28;Zuid-Holland;32299
1694;GM0613;Albrandswaard;PV28;Zuid-Holland;26707
1709;GM0273;Putten;PV25;Gelderland;24953
1735;GM0339;Renswoude;PV26;Utrecht;5782
1749;GM0597;Ridderkerk;PV28;Zuid-Holland;47999
1766;GM0603;Rijswijk (ZH.);PV28;Zuid-Holland;60717
1800;GM0277;Rozendaal;PV25;Gelderland;1836
1801;GM0840;Rucphen;PV30;Noord-Brabant;23995
1819;GM1525;Teylingen;PV28;Zuid-Holland;38411
1839;GM0279;Scherpenzeel;PV25;Gelderland;10539
1843;GM0606;Schiedam;PV28;Zuid-Holland;82232
1844;GM0088;Schiermonnikoog;PV21;Fryslân;971
1919;GM0610;Sliedrecht;PV28;Zuid-Holland;26601
1936;GM0342;Soest;PV26;Utrecht;47999
1940;GM0848;Son en Breugel;PV30;Noord-Brabant;18131
1959;GM0867;Waalwijk;PV30;Noord-Brabant;51241
1998;GM0988;Weert;PV31;Limburg;51355
2091;GM0450;Uitgeest;PV27;Noord-Holland;13427
2104;GM0184;Urk;PV24;Flevoland;22173
2115;GM0858;Valkenswaard;PV30;Noord-Brabant;31955
2126;GM0345;Veenendaal;PV26;Utrecht;70352
2139;GM0861;Veldhoven;PV30;Noord-Brabant;47601
2170;GM0622;Vlaardingen;PV28;Zuid-Holland;77260
2176;GM0096;Vlieland;PV21;Fryslân;1217
2191;GM0626;Voorschoten;PV28;Zuid-Holland;25900
2215;GM0866;Waalre;PV30;Noord-Brabant;17898
2225;GM0627;Waddinxveen;PV28;Zuid-Holland;35031
2229;GM0289;Wageningen;PV25;Gelderland;42790
2248;GM0301;Zutphen;PV25;Gelderland;49028
2253;GM0629;Wassenaar;PV28;Zuid-Holland;27525
2300;GM0293;Westervoort;PV25;Gelderland;15205
2361;GM0294;Winterswijk;PV25;Gelderland;29232
2400;GM0351;Woudenberg;PV26;Utrecht;14760
2428;GM0050;Zeewolde;PV24;Flevoland;24291
2455;GM0637;Zoetermeer;PV28;Zuid-Holland;129862
2500;GM0193;Zwolle;PV23;Overijssel;133810
